Object Name,isContainer?,currentStateContainer?,stateChangeToContainer?,Pose 1: canBeGraspedByJaco?,Grasp notes,Pose 2: ,,image link
014_lemon,0,0,0,1,,,,https://lh3.googleusercontent.com/1xJuBKJdTFaUM1Nz2xfJZCxYO9uRq7luou0geIrTvXm28K9kTBnIEc0X77c=w2400
015_peach,0,0,0,1,,,,https://lh6.googleusercontent.com/ySjOuKGnw6JYEOEnaAIK7DjvdYt4YgnxFTvqTnue5kKGpeFArssK4-3qmT0=w2400
016_pear,0,0,0,1,,,,https://lh6.googleusercontent.com/Tjfz-yjcu5pA13uC42T3EAlJfbqZJ9ZyEmaihHbQDXRy819g_YOtRTRS55U=w2400
017_orange,0,0,0,1,,,,https://lh3.googleusercontent.com/siPKxAffUa8G8QbNK3xRWMaa6OUH89v_uVozCPaK29uqsjw8sGi0lwie6hw=w2400
018_plum,0,0,0,1,,,,https://lh3.googleusercontent.com/zX6f1q4AAhcaU24nQJaaFQZ81ZG6Xhl1PKM2t8UQaNQo73N1yQ3IjT1T9KA=w2400
065-a_cups        ,1,1,0,1,also graspable by the edge of the cup,,,https://lh3.googleusercontent.com/RoGthKwsKeeEUoz61KICqp6LhrgNkrrm0Z__J2SMqNoM-NW37_7RLljylp8=w2400
065-b_cups        ,1,1,0,1,,,,https://lh3.googleusercontent.com/Lz0QBoeUstBB_AwhT1iwLzApWblo-5Stred37g4fi9xYn_67Xjyq1uYQe3k=w2400
065-c_cups,1,1,0,1,,,,https://lh3.googleusercontent.com/7YBUebPPe4o5A5_DQjgSkpdCnfuvmXX7y_v5IY7BvwrcBwgFu4D5m_2Y8UY=w2400
065-d_cups,1,1,0,1,,,,https://lh5.googleusercontent.com/DL7ClQDwWeUjZ2-DzoJaQr5hCuEQhHieSXKGDbIVUy76qD1P4fTgW4ffHPg=w2400
065-e_cups,1,1,0,1,,,,https://lh3.googleusercontent.com/IO4hCK5DMN7RcL-ISDsaXqkWoWC29h4xJ4v4VlamwnMgNVBCIYrdFb4zzEY=w2400
065-f_cups,1,1,0,1,,,,https://lh6.googleusercontent.com/aqIYaLCmJfDTDuhPQxghhxX7ukQ21jCIcCdWwA_nNj48bvkzrcruhYatSHE=w2400
065-g_cups,1,1,0,1,,,,https://lh6.googleusercontent.com/2W8cJYIzjOhYw5mG6VLqohZcMLUhRHXORh5OXremIceEC594B-8kd28BGwQ=w2400
065-h_cups,1,1,0,1,,,,https://lh6.googleusercontent.com/M192S1kErdM9qwcmh-iJkLkKcW9jB2ljmn5TQLw9hCCOAGhmyMQ_jGbk3lc=w2400
065-i_cups,1,1,0,1,,,space before link removed,https://lh3.googleusercontent.com/p7-fvTOs5vIM1NDqeqcetQ3GhR7cr7ytITpy4LRXsu-wm_L5swUaRQ0hjjI=w2400
065-j_cups	,1,1,0,1,,,,https://lh4.googleusercontent.com/JGxpz8-LOCeyHhJFAfN5psr6kRfjoha0k4oEFe7-Fpy_G6xwuvUfNy9LINw=w2400
070-a_colored_wood_blocks        ,0,0,0,1,,,,https://lh5.googleusercontent.com/sr8359ZGxTeCDQrOc7FGgqjldFWk7vFdM0yVIwGNgpaUTRgzsLbZeZRh_XQ=w2400
077_rubiks_cube,0,0,0,1,,,,https://lh4.googleusercontent.com/Gm8cn6vVSCDmO-WT52uhTBHuCeYGyN8DcArf3ALTvk3XwGgh4vCYy8WbCjU=w2400
009_gelatin_box,1,0,1,1,,,,https://lh6.googleusercontent.com/dA4NaaKzPL4bB9VEPpaKSpaMe_SFfcW160ZiylXDB4HBfo7OovqFab7IfO8=w2400
059_chain,0,0,0,1,,,,https://lh5.googleusercontent.com/KcWaVqJ7Tvlf9xP0p3aghEQ4kSeEtJb0nWPILy4cy7R9DRZK3moLRl_GgLM=w2400
061_foam_brick,0,0,0,1,,,,https://lh6.googleusercontent.com/yzPJxOPNiaYOT3QmecSnUHZ3IRpMojOK8lq7CSk0E-_RzzAiJg0g8LttjTc=w2400
073-a_lego_duplo,0,0,0,1,,,,https://lh5.googleusercontent.com/71dhmuLPaQF_C9WqD8KqN5TcBsHsFtShhmld4rQeI0GNwWG3X5XLyJObOT8=w2400
073-b_lego_duplo,0,0,0,1,,,,https://lh3.googleusercontent.com/loSFUm4jvXdl2i0Kux6YxDau6CXnEi2iq892v0IlZulmrQdIXxEgmbX5oKA=w2400
073-c_lego_duplo,0,0,0,1,,,,https://lh3.googleusercontent.com/74fq20a6w-BamwVZVeo2PJgCcPg73UAvVBImliGYtZDOx6kWvhgKPGjpObM=w2400
073-d_lego_duplo,0,0,0,1,,,,https://lh5.googleusercontent.com/aRnhSLV4mzAHf7mVeCFJtkLpAOhpSqieydu59Kh4I2axLfgTH2h-QMODbMs=w2400
073-e_lego_duplo,0,0,0,1,,,,https://lh6.googleusercontent.com/BUd_Pozdykc4cUlLCQVcBn9DIf6rfd6aR-GH8j7jqXazEoEpDSgZ8F4ZXmU=w2400
073-f_lego_duplo,0,0,0,1,,,,https://lh3.googleusercontent.com/t54WxLRtEWknQ44tT8zpMik5nFvYy25McFUWa4DRCvHmBxtwc0KW7hazWnc=w2400
073-g_lego_duplo,0,0,0,1,,,,https://lh6.googleusercontent.com/U_0LzT405wu5lKpi0L4d74dD9zaFEjhXIgNjlnhfY8WFHLcFLuXOW-omf7M=w2400
073-h_lego_duplo	,0,0,0,1,,,,https://lh3.googleusercontent.com/u-u9Nuo7X2bnY4zKzVVUmT_eT3Ue29re3xGSNRPyqtM4TPzR43fynDYpr-Q=w2400
073-i_lego_duplo,0,0,0,1,,,,https://lh4.googleusercontent.com/oWBdYAr96TNFEuUK_kMd8F3CJszP-DE247BWMpALjKqLU2BFV01JZ33vCvw=w2400
073-j_lego_duplo	,0,0,0,1,,,,https://lh4.googleusercontent.com/g7pjWVx9eRRidmQNpDNWbjkwTiNoRcm-B3L2WfP8-iq2evGAhfa_2t9WDHY=w2400
073-k_lego_duplo	,0,0,0,1,,,,https://lh4.googleusercontent.com/fxvuw7jITloMPZolMwcQBkgYpF4ET9tlBcISOgOpOSoLcPlH5R6W36TADO4=w2400
073-l_lego_duplo	,0,0,0,1,,,,https://lh6.googleusercontent.com/THrQ1eMpE__Vb-Im_bbRxJl7sK7w9TqDv0ZoFIvGqnj-psbQ2vdrPqSsHNo=w2400
073-m_lego_duplo	,0,0,0,1,,,,https://lh4.googleusercontent.com/-0PaFalqY4Jeo12lEqMnMYPf7Do1za8lmr1yAFjuSHSKzhKyRcU25jslmWs=w2400
054_softball,0,0,0,1,,,,https://lh4.googleusercontent.com/YvY7hnc-PUpw4kwArZuBwdzsjhSme_WhQLGvq_lsHiAC0OS_vTPUm9BS_YQ=w2400
055_baseball,0,0,0,1,,,,https://lh5.googleusercontent.com/01mEqggTAuQAFvtAgNeQzQK1_y5Y9rnCnhcdfW2og0K04IlOsw_il4E0jFw=w2400
057_racquetball,0,0,0,1,,,,https://lh3.googleusercontent.com/MYdKl8taUCVSz8GRcOE9KfAQZ66WcYhhO3dQV9hWp7hyomoZ8Yw0Hp1_cqw=w2400
019_pitcher_base,1,1,0,2,only by handle,,,https://lh5.googleusercontent.com/tVxa9_OwSBZ_kvkue5mE8IbGfWSV3h_MfFI0qkbPHoVE6wpHVHz8SLRfQHA=w2400
071_nine_hole_peg_test,0,0,0,2,change orientation,,"wrong picture, fixed",https://lh6.googleusercontent.com/LJRU_r8VQkgJU7o559HOwAT8FyTkMJqeVHm2YIWNQQl-jVn2e9IGEgW5MJI=w2400
070-b_colored_wood_blocks,0,0,0,,,,,N/A
007_tuna_fish_can,1,0,1,1,,,,https://lh4.googleusercontent.com/QJW7Hu_5pMXPydxVc1Fq8oGhRg0iMhwLlEJ2uy1EDhrgvxAuBF25iyEQ628=w2400
008_pudding_box,1,0,1,1,,,,https://lh4.googleusercontent.com/oCjOG3TXfuK9ZdlqHXiUmkr_Nk6H7sUlOeOdaEtm2J_B9KuHpG6h0ULsvIQ=w2400
010_potted_meat_can ,1,0,1,1,,,,https://lh3.googleusercontent.com/gMKmygLfHSNobigVIeM_vXpv66DEmnNv41Ar_TbmK4XVIVS1hQJht1bE3mQ=w2400
021_bleach_cleaner,1,0,1,1,seems to be too heavy,,,https://lh4.googleusercontent.com/HSnDRSL9D1fH1NhE7YoHWobm1oLW8AHcSYHlGKrfegWBdqTw1UK9JI2PQA8=w2400
022_windex_bottle,1,0,1,1,,,,https://lh5.googleusercontent.com/5VXJw0l6Q1jQjIBE3b7lfDN7kHu7UyddwaohPHmJTH4TyukTiTHHhQ5LzBE=w2400
023_wine_glass,1,1,0,1,,,,https://lh6.googleusercontent.com/Qak3Ke9KahXdtgvk7iQ-UN3dsRwwoKRIe9MS-ssVKwkHzS6WbqPuPhdgvUo=w2400
024_bowl,1,1,0,,,,,https://lh3.googleusercontent.com/f5pIEjkXRQZ_UxKKwKHvpOi_q8y5-3Tg6AU1Mc4AiSZy0fuH1oq1H4joC70=w2400
025_mug,1,1,0,,,,,https://lh6.googleusercontent.com/UL72xwkqWlfgrgP7fWY1aVNt5FTuiHLjmW3s0yfkSVw_Vj4chLBxyMa0wkA=w2400
026_sponge,0,0,0,,,,,https://lh4.googleusercontent.com/ffQ8Cbb5xiiWrxNMyRIgHqkSM-XhvQbcAm0kuJa9bqqlVrMz4moV6syWw6E=w2400
027-skillet,1,0,1,,,,,https://lh5.googleusercontent.com/W64_08z1caR4CHsyVFTM9SRQgg-fx3vyCxkSn25hk51xJnzYHkAoaAiqdp0=w2400
027-skillet lid,,,,2,by handle,,,
029_plate	,1,1,0,,,,,https://lh4.googleusercontent.com/q4DzXgRBt30PrPqqqT-SyCpQVk--mZr-f5UCKX91G19S22lDUZLOjW4zNYQ=w2400
030_fork,0,0,0,1,,,"wrong image, fixed",https://lh5.googleusercontent.com/dLmrCmvfCAQ2s41k_4Be1DTi0z5KLU1_8b4L3BL2v3G3RJbuIS3iKdMIH78=w2400
031_spoon,0,0,0,1,,,,https://lh5.googleusercontent.com/BUUqsfRK6pX28aO_PHTyHr_45Ej-pOhFsBRA3EALFjJb7VPmB4dvlnovhHs=w2400
032_knife,0,0,0,1,,,,https://lh4.googleusercontent.com/Nd_3nZTESn8rQeiRWq2S7MdLjbYnznZIjwdhdlbZDVt3XMJC3iMukDrS8rU=w2400
033_spatula	,0,0,0,,,,,https://lh6.googleusercontent.com/L3AzTXez9iC62HIkMiu4yoUauBLLifzzQ_XpBD2MuAVQl6eSl-14Y5gPDzM=w2400
035_power_drill,0,0,0,,,,,https://lh6.googleusercontent.com/X2QMD7wMJBmd4bC-6jbfOB0yG9qa7R_LGu1nEt2hWX5aF-8y0SeOsQ1FbmE=w2400
036_wood_block,0,0,0,,,,,https://lh4.googleusercontent.com/S6n9pYlcYGAGyS3jXeOJ3qgxm1HiUE3RJ9Rfyl_vzBFuiaoS0b5Uq_VJYWg=w2400
037_scissors,0,0,0,1,,,,https://lh5.googleusercontent.com/mYSp2IV0KmJwK68nrYbwgyYFAopun69UHtxqqxKSI9ATq6DFHrTQsRYXiiU=w2400
038_padlock,0,0,0,1,,,,https://lh6.googleusercontent.com/t_XKfIdXgv9HE1REVD_rd5QOzdBAkBsVyX44BzKZu9ct7L-4-EJ7AwtgncE=w2400
039_key,0,0,0,1,,,,https://lh5.googleusercontent.com/6m2-TTkR8OCg368lS4kMLSL9kpC1hBGL0YTRwx4InS63BVfQItyeoysSdDk=w2400
040_large_marker,0,0,0,,,,,https://lh4.googleusercontent.com/OotXPiFTPneZ7649MMIBgJrz_OsCp6_Ep-tfnB3M-A7VyCydtD_blBXAsks=w2400
041_small_marker,0,0,0,,,,,https://lh3.googleusercontent.com/ivt0UIbkH6E9Y6gmC-yO_Puidk0bRXeagj57nPXCx5g6sTDouQgzQxEfP88=w2400
042_adjustable_wrench,0,0,0,,,,,https://lh5.googleusercontent.com/h33noGk_UZHdpMALojkr6bVZm2Pj7dwyFtl2hnn6dVzZ1uf5F0pEL5L3MaQ=w2400
043_phillips_screwdriver,0,0,0,,,,,https://lh5.googleusercontent.com/ZPfhACwDL_nN2eV9FoQ-TpwxM8f2HCCZySxaE1KeuJVWKSI3ARz1Ah_0Wxw=w2400
044_flat_screwdriver,0,0,0,,,,,https://lh4.googleusercontent.com/SkIE1CBt7tAOJzyxZj62-9E4AfpcOo5ydCR3CHz9l9A-Kl0MJ3OQMGEGzAs=w2400
046_plastic_bolt,0,0,0,,,,,https://lh6.googleusercontent.com/OCRoq0lf1du0LjJzDPGw50Su1Z_MgA548q6yzJqSmInJS0oOEXlqeEHE3Ww=w2400
047_plastic_nut	,0,0,0,,,,,https://lh3.googleusercontent.com/prU751i1c4c5ueRBYqzkwEn06Q9_izYLL1YrbTXg49-3oYTWOc6munmro9o=w2400
048_hammer	,0,0,0,1,,,,https://lh6.googleusercontent.com/-0pKuOMyCyirgfhKBiR5-0tlNtRtmN4J3QuxW6WPbBDt6caVG-G0k1HaB8g=w2400
049_small_clamp,0,0,0,1,,,,https://lh5.googleusercontent.com/3jsAhNIa3XZ9qSGQZTDf1kbqR8fZNfujsDr0Ih8NSIeGS6fJ9v-kxqDou7o=w2400
050_medium_clamp,0,0,0,1,,,,https://lh3.googleusercontent.com/5bCrwbraiKuMPcx-iSPTIyZywteMk4SJbSVMrG-Ae3xSotvynmhNweTAALg=w2400
051_large_clamp,0,0,0,1,,,,https://lh3.googleusercontent.com/_LuGdWCu0VfZE7Fwe8TwtwlcS7VWHbm2eXx8uz22E1KMEZdhRrdGJrJv28Y=w2400
052_extra_large_clamp,0,0,0,1,,,,https://lh6.googleusercontent.com/znuYRhxny04sG6GQDn82XxaZPEhnXl9gRNi-aSKeXX9wezGKWgOvEOobYA8=w2400
056_tennis_ball,0,0,0,1,,,,https://lh3.googleusercontent.com/yMJlmZ1jjVZIIDE8B_o0p7W2mi7d0pyld9gD7LE98gBndVz-7GUqQAnGWgM=w2400
058_golf_ball,0,0,0,,,,,https://lh5.googleusercontent.com/0Yayt2Uqo14qcrcvIK6YyjDofTeURP3dl55EgKgs_RsJl5dMClaIpviGYns=w2400
062_dice,0,0,0,1,,,,https://lh3.googleusercontent.com/VfJiriIIFUg1ku38oGVslXt1A1SEIXk99QNJHtuQis7-_3ZZupKS4U6LBbg=w2400
063-a_marbles,0,0,0,,,,,https://lh4.googleusercontent.com/lkT6QqytLTbmhsXBd0yTzqs-kcBXI6Tbe7qbajlCF921aoVTPTaGz7ZU7O8=w2400
063-b_marbles,0,0,0,,,,,https://lh5.googleusercontent.com/DwDeZtPCIxsK2WIrabEMf07kqDCkZTvu6v6XsAJhB7jAoSu8aYjW_Zn_LfE=w2400
063-c_marbles,0,0,0,,,,,https://lh6.googleusercontent.com/8lo_rTdpoETjiZ4Xrpng22Pjt44epiWo0SUt_Ud6RUptYbXEypS5iAcqvvg=w2400
063-d_marbles,0,0,0,,,,,https://lh5.googleusercontent.com/Au8h7I-brk6398UXRY-T2QjoSPFS6CHQ8yFM3rJR_yHuONhJS0wunp12DxM=w2400
063-e_marbles,0,0,0,,,,,N/A
063-f_marbles,0,0,0,,,,,https://lh3.googleusercontent.com/XE9wyyJpKo6Nw-9WGeAvafsgeJZBvg-tYutxB4s-ZlMs4RN498CvLU-0HyA=w2400
072-a_toy_airplane,0,0,0,1,,,,https://lh3.googleusercontent.com/xqfJkzmPcc5uwTuIGITB_l_Y-U_o6HvV7Gij4ZsP4oKl89IpUeejCCB4Msg=w2400
072-b_toy_airplane,0,0,0,,,,,N/A
072-c_toy_airplane,0,0,0,,,,,N/A
072-d_toy_airplane,0,0,0,,,,,N/A
072-e_toy_airplane,0,0,0,,,,,N/A
072-f_toy_airplane,0,0,0,,,,,N/A
072-g_toy_airplane,0,0,0,,,,,N/A
072-h_toy_airplane,0,0,0,,,,,N/A
072-i_toy_airplane,0,0,0,,,,,N/A
072-j_toy_airplane	,0,0,0,,,,,N/A
072-k_toy_airplane	,0,0,0,,,,,N/A
076_timer,0,0,0,,,,,https://lh4.googleusercontent.com/tV8zPnRAgcijlTaCoAIGPnqxZApBRFW1GKIL6I3sQ3V5N8GEa6hZzyIhEbk=w2400
